Time,Dir,Entry,Exit,Pips,USD,Level,Reason
2026.06.01 00:15,BUY,0.71739,0.0,0.0,0.0,1,PivotLow_Green
2026.06.02 17:15,BUY,0.71765,0.0,0.0,0.0,1,PivotLow_Green
2026.06.04 10:00,SELL,0.71356,0.0,0.0,0.0,1,PivotHigh_Red
2026.06.05 04:04,SELL,0.71356,0.71156,20.000000000000018,2.0000000000000018,1,TP_HIT
2026.06.05 04:45,BUY,0.71144,0.0,0.0,0.0,1,PivotLow_Green
2026.06.05 10:37,BUY,0.71144,0.71344,20.000000000000018,2.0000000000000018,1,TP_HIT
2026.06.05 11:00,SELL,0.71301,0.0,0.0,0.0,1,PivotHigh_Red
2026.06.05 15:54,SELL,0.71301,0.71085,21.600000000000506,2.1600000000000508,1,TP_HIT
2026.06.05 16:15,BUY,0.71075,0.0,0.0,0.0,1,PivotLow_Green
2026.06.08 00:15,BUY,0.70331,0.0,0.0,0.0,1,PivotLow_Green
2026.06.08 03:37,BUY,0.70331,0.70546,21.49999999999985,2.1499999999999853,1,TP_HIT
2026.06.08 04:15,SELL,0.70572,0.0,0.0,0.0,1,PivotHigh_Red
2026.06.08 04:45,BUY,0.70476,0.0,0.0,0.0,1,PivotLow_Green
2026.06.08 14:45,SELL,0.70722,0.0,0.0,0.0,1,PivotHigh_Red
2026.06.08 17:12,SELL,0.70722,0.7052,20.199999999999108,2.0199999999999108,1,TP_HIT
2026.06.08 18:15,SELL,0.70586,0.0,0.0,0.0,1,PivotHigh_Red
2026.06.09 02:55,SELL,0.70586,0.70374,21.200000000000106,2.1200000000000108,1,TP_HIT
2026.06.09 03:30,BUY,0.70383,0.0,0.0,0.0,1,PivotLow_Green
2026.06.09 05:01,BUY,0.70383,0.70584,20.100000000000673,2.0100000000000673,1,TP_HIT
2026.06.09 05:15,SELL,0.70572,0.0,0.0,0.0,1,PivotHigh_Red
2026.06.09 17:44,SELL,0.70572,0.70366,20.600000000000616,2.060000000000062,1,TP_HIT
2026.06.09 18:00,BUY,0.70413,0.0,0.0,0.0,1,PivotLow_Green
2026.06.10 19:45,SELL,0.70212,0.0,0.0,0.0,1,PivotHigh_Red
2026.06.10 22:23,SELL,0.70212,0.70012,20.000000000000018,2.0000000000000018,1,TP_HIT
2026.06.10 22:45,BUY,0.70028,0.0,0.0,0.0,1,PivotLow_Green
2026.06.12 02:45,BUY,0.70477,0.0,0.0,0.0,1,PivotLow_Green
2026.06.15 00:15,BUY,0.7045,0.0,0.0,0.0,1,PivotLow_Green
2026.06.15 00:30,BUY,0.7045,0.70663,21.299999999999653,2.1299999999999653,1,TP_HIT
2026.06.15 01:15,SELL,0.70823,0.0,0.0,0.0,1,PivotHigh_Red
2026.06.16 04:42,SELL,0.70823,0.70623,20.000000000000018,2.0000000000000018,1,TP_HIT
2026.06.16 05:30,BUY,0.70605,0.0,0.0,0.0,1,PivotLow_Green
2026.06.17 12:15,SELL,0.70603,0.0,0.0,0.0,1,PivotHigh_Red
2026.06.18 21:15,BUY,0.70183,0.0,0.0,0.0,1,PivotLow_Green
2026.06.22 00:15,BUY,0.70123,0.0,0.0,0.0,1,PivotLow_Green
2026.06.23 11:15,BUY,0.6949,0.0,0.0,0.0,1,PivotLow_Green
2026.06.24 16:45,SELL,0.68948,0.0,0.0,0.0,1,PivotHigh_Red
2026.06.26 16:30,BUY,0.69061,0.0,0.0,0.0,1,PivotLow_Green
2026.06.29 00:15,BUY,0.68937,0.0,0.0,0.0,1,PivotLow_Green
